General : Start date,"11/19/2025 9:47 AM"
General : End date,"11/19/2025 9:48 AM"
Specimen notes : Specimen note 1,"B22"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"43.30000","3.60844","24982.26367"
"43.40000","3.61680","24999.13281"
"43.50000","3.62517","25011.65234"
"43.60000","3.63343","25024.56836"
"43.70000","3.64183","25038.68555"
"43.80000","3.65009","25049.92773"
"43.90000","3.65846","25064.73633"
"44.00000","3.66682","25075.42969"
"44.10000","3.67514","25087.57422"
"44.20000","3.68353","25099.67969"
"44.30000","3.69174","25109.04297"
"44.40000","3.70013","25121.81641"
"44.50000","3.70842","25131.41602"
"44.60000","3.71677","25142.04297"
"44.70000","3.72518","25152.41797"
"44.80000","3.73345","25161.17383"
"44.90000","3.74181","25171.02930"
"45.00000","3.75010","25177.62695"
"45.10000","3.75847","25187.99805"
"45.20000","3.76683","25195.27930"
"45.30000","3.77510","25204.22070"
"45.40000","3.78354","25214.51953"
"45.50000","3.79183","25220.15039"
"45.60000","3.80022","25227.57617"
"45.70000","3.80849","25232.00586"
"45.80000","3.81675","25239.39258"
"45.90000","3.82514","25247.19922"
"46.00000","3.83343","25252.76758"
"46.10000","3.84185","25260.05859"
"46.20000","3.85017","25262.54102"
"46.30000","3.85848","25268.62305"
"46.40000","3.86682","25274.04688"
"46.50000","3.87506","25277.92188"
"46.60000","3.88348","25283.68750"
"46.70000","3.89179","25285.90039"
"46.80000","3.90016","25292.70312"
"46.90000","3.90850","25296.18945"
"47.00000","3.91677","25300.61523"
"47.10000","3.92516","25304.20117"
"47.20000","3.93342","25307.07031"
"47.30000","3.94181","25313.33008"
"47.40000","3.95013","25316.07227"
"47.50000","3.95842","25319.59961"
"47.60000","3.96683","25321.80273"
"47.70000","3.97510","25322.06836"
"47.80000","3.98349","25324.70898"
"47.90000","3.99178","25324.53906"
"48.00000","4.00010","25328.28711"
"48.10000","4.00854","25330.64453"
"48.20000","4.01683","25328.53125"
"48.30000","4.02524","25330.56445"
"48.40000","4.03346","25327.96484"
"48.50000","4.04177","25330.94336"
"48.60000","4.05012","25332.50391"
"48.70000","4.05841","25332.29492"
"48.80000","4.06687","25334.20703"
"48.90000","4.07519","25333.62500"
"49.00000","4.08353","25334.07812"
"49.10000","4.09184","25331.83789"
"49.20000","4.10013","25330.53711"
"49.30000","4.10850","25330.03711"
"49.40000","4.11676","25327.93555"
"49.50000","4.12518","25328.86523"
"49.60000","4.13347","25326.72852"
"49.70000","4.14176","25325.63867"
"49.80000","4.15015","25321.27734"
"49.90000","4.15842","25318.26172"
"50.00000","4.16681","25316.94727"
"50.10000","4.17510","25313.08789"
"50.20000","4.18349","25312.36328"
"50.30000","4.19188","25308.01953"
"50.40000","4.20015","25302.17773"
"50.50000","4.20851","25297.38477"
"50.60000","4.21675","25291.77734"
"50.70000","4.22509","25289.25000"
"50.80000","4.23343","25283.07812"
"50.90000","4.24177","25278.74805"
"51.00000","4.25019","25273.28516"
"51.10000","4.25843","25265.30664"
"51.20000","4.26680","25261.24023"
"51.30000","4.27511","25250.14258"
"51.40000","4.28348","25241.88086"
"51.50000","4.29187","25230.65234"
"51.60000","4.30016","25217.86914"
"51.70000","4.30855","25206.77734"
"51.80000","4.31681","25192.35938"
"51.90000","4.32516","25178.78125"
"52.00000","4.33347","25162.85156"
"52.10000","4.34174","25146.81445"
"52.20000","4.35018","25132.76562"
"52.30000","4.35847","25113.02734"
"52.40000","4.36686","25094.18945"
"52.50000","4.37515","25067.54688"
"52.60000","4.38346","25045.56836"
"52.70000","4.39183","25023.44531"
"52.80000","4.40007","25000.01758"
"52.90000","4.40849","24976.58984"
"53.00000","4.41680","24947.68555"
"53.10000","4.42514","24920.33203"
"53.20000","4.43348","24891.91016"
"53.30000","4.44172","24863.78125"
"53.40000","4.45014","24835.91797"
"53.50000","4.45846","24801.97070"
"53.60000","4.46685","24771.18164"
"53.70000","4.47519","24734.72266"
"53.80000","4.48345","24700.03906"
"53.90000","4.49179","24666.56250"
"54.00000","4.50006","24631.51758"
"54.10000","4.50845","24598.68359"
"54.20000","4.51681","24562.99414"
"54.30000","4.52510","24527.24219"
"54.40000","4.53347","24488.43359"
"54.50000","4.54174","24447.38281"
"54.60000","4.55018","24407.24609"
"54.70000","4.55847","24364.85352"
"54.80000","4.56678","24324.22070"
"54.90000","4.57517","24279.82031"
"55.00000","4.58346","24233.42383"
"55.10000","4.59188","24187.97852"
"55.20000","4.60012","24139.02344"
"55.30000","4.60849","24094.42578"
"55.40000","4.61680","24043.56836"
"55.50000","4.62507","23987.74023"
"55.60000","4.63353","23920.79297"
"55.63800","4.63668","23319.76172"
"55.64000","4.63689","22624.69141"
"55.64200","4.63706","21690.18750"
"55.64400","4.63726","20603.13281"
"55.64600","4.63744","19406.94922"
"55.64800","4.63767","18120.43555"
"55.65000","4.63789","16772.52539"
"55.65200","4.63809","15402.33496"
"55.65400","4.63835","14039.49414"
