General : Start date,"11/19/2025 9:58 AM"
General : End date,"11/19/2025 9:59 AM"
Specimen notes : Specimen note 1,"B31"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"38.10000","3.17515","22606.41602"
"38.20000","3.18344","22654.06641"
"38.30000","3.19186","22699.29883"
"38.40000","3.20017","22741.12305"
"38.50000","3.20856","22785.38281"
"38.60000","3.21680","22826.78320"
"38.70000","3.22509","22872.31250"
"38.80000","3.23348","22914.76758"
"38.90000","3.24178","22956.55664"
"39.00000","3.25019","22999.89648"
"39.10000","3.25848","23039.91016"
"39.20000","3.26685","23083.80664"
"39.30000","3.27516","23122.32031"
"39.40000","3.28345","23161.46484"
"39.50000","3.29187","23202.40820"
"39.60000","3.30013","23241.22266"
"39.70000","3.30850","23283.66992"
"39.80000","3.31684","23322.43359"
"39.90000","3.32513","23361.56055"
"40.00000","3.33352","23399.61328"
"40.10000","3.34176","23435.30273"
"40.20000","3.35015","23476.56055"
"40.30000","3.35847","23514.34961"
"40.40000","3.36684","23552.96680"
"40.50000","3.37523","23589.51367"
"40.60000","3.38349","23623.36719"
"40.70000","3.39186","23660.53906"
"40.80000","3.40012","23694.49805"
"40.90000","3.40846","23730.58984"
"41.00000","3.41685","23764.92383"
"41.10000","3.42514","23798.60938"
"41.20000","3.43356","23832.97266"
"41.30000","3.44180","23865.92969"
"41.40000","3.45017","23901.52148"
"41.50000","3.45848","23932.33008"
"41.60000","3.46680","23965.56055"
"41.70000","3.47519","23998.48633"
"41.80000","3.48345","24030.32422"
"41.90000","3.49182","24063.29492"
"42.00000","3.50013","24093.24023"
"42.10000","3.50848","24123.87500"
"42.20000","3.51684","24153.23633"
"42.30000","3.52511","24182.65430"
"42.40000","3.53355","24213.59961"
"42.50000","3.54186","24241.27539"
"42.60000","3.55023","24270.12891"
"42.70000","3.55854","24295.71875"
"42.80000","3.56678","24323.05859"
"42.90000","3.57518","24351.30273"
"43.00000","3.58344","24377.69336"
"43.10000","3.59186","24406.70898"
"43.20000","3.60017","24430.05664"
"43.30000","3.60849","24456.92188"
"43.40000","3.61683","24483.06445"
"43.50000","3.62507","24507.85547"
"43.60000","3.63351","24534.76953"
"43.70000","3.64185","24557.37305"
"43.80000","3.65017","24582.08008"
"43.90000","3.65856","24605.79688"
"44.00000","3.66680","24627.46875"
